SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	sample_accession	experiment_accession	geographic_location	library_name	site_name	sample_description	base_count	sample_title	Description	Reads	Shannon	Chao1	ACE
ERR2233303	ERR2233303_1.fastq	ERR2233303_2.fastq	Gulf of Mexico	SAMEA104452372	ERX2286282	Gulf of Mexico	Sta 3 30-30.5 cm 2	Station 3	sediment	29059569	bioturb_Sta 3 30-30.5 cm 2	bioturb_Sta 3 30-30.5 cm 2	24342	4.93228062336448	5060.49685534591	5542.82864865074
ERR2233260	ERR2233260_1.fastq	ERR2233260_2.fastq	Kennebec River, Maine	SAMEA104452329	ERX2286239	Kennebec River, Maine	Phipps WB-1	Phippsburg	worm burrow	27523195	bioturb_Phipps WB-1	bioturb_Phipps WB-1	24342	8.08348356191851	16924.6020236088	20836.1287245025
ERR2233261	ERR2233261_1.fastq	ERR2233261_2.fastq	Kennebec River, Maine	SAMEA104452330	ERX2286240	Kennebec River, Maine	Phipps WB-2	Phippsburg	worm burrow	30062263	bioturb_Phipps WB-2	bioturb_Phipps WB-2	24342	8.24977319272051	17800.7903726708	21950.8895044319
ERR2233262	ERR2233262_1.fastq	ERR2233262_2.fastq	Kennebec River, Maine	SAMEA104452331	ERX2286241	Kennebec River, Maine	Phipps WB-3	Phippsburg	worm burrow	35839117	bioturb_Phipps WB-3	bioturb_Phipps WB-3	24342	7.9029185158956	17000.4431680774	20441.4704735699
ERR2233263	ERR2233263_1.fastq	ERR2233263_2.fastq	Kennebec River, Maine	SAMEA104452332	ERX2286242	Kennebec River, Maine	Phipps sed-1	Phippsburg	sediment	35967371	bioturb_Phipps sed-1	bioturb_Phipps sed-1	24342	8.21296693322314	18311.3081489477	22891.121279907
ERR2233264	ERR2233264_1.fastq	ERR2233264_2.fastq	Kennebec River, Maine	SAMEA104452333	ERX2286243	Kennebec River, Maine	Phipps sed-2	Phippsburg	sediment	32047233	bioturb_Phipps sed-2	bioturb_Phipps sed-2	24342	8.09704668869555	17666.5626535627	21252.1374840951
ERR2233265	ERR2233265_1.fastq	ERR2233265_2.fastq	Kennebec River, Maine	SAMEA104452334	ERX2286244	Kennebec River, Maine	Phipps sed-3	Phippsburg	sediment	37744370	bioturb_Phipps sed-3	bioturb_Phipps sed-3	24342	8.0442852480719	18066.3864363404	21823.4781016307
ERR2233266	ERR2233266_1.fastq	ERR2233266_2.fastq	Kennebec River, Maine	SAMEA104452335	ERX2286245	Kennebec River, Maine	Fort Popham WB-1	Fort Popham	worm burrow	38439886	bioturb_Fort Popham WB-1	bioturb_Fort Popham WB-1	24342	8.10481682155955	23050.9004676019	28043.6075429318
ERR2233267	ERR2233267_1.fastq	ERR2233267_2.fastq	Kennebec River, Maine	SAMEA104452336	ERX2286246	Kennebec River, Maine	Fort Popham WB-2	Fort Popham	worm burrow	44220596	bioturb_Fort Popham WB-2	bioturb_Fort Popham WB-2	24342	8.16974164461353	23477.1005121639	28545.656374335
ERR2233268	ERR2233268_1.fastq	ERR2233268_2.fastq	Kennebec River, Maine	SAMEA104452337	ERX2286247	Kennebec River, Maine	Fort Popham WB-3	Fort Popham	worm burrow	40162629	bioturb_Fort Popham WB-3	bioturb_Fort Popham WB-3	24342	7.70566503095119	20054.2844187964	23314.5399143287
ERR2233269	ERR2233269_1.fastq	ERR2233269_2.fastq	Kennebec River, Maine	SAMEA104452338	ERX2286248	Kennebec River, Maine	Fort Popham sed-1	Fort Popham	sediment	37215521	bioturb_Fort Popham sed-1	bioturb_Fort Popham sed-1	24342	8.05374873890509	22677.96	27471.2976621538
ERR2233270	ERR2233270_1.fastq	ERR2233270_2.fastq	Kennebec River, Maine	SAMEA104452339	ERX2286249	Kennebec River, Maine	Fort Popham sed-2	Fort Popham	sediment	36075942	bioturb_Fort Popham sed-2	bioturb_Fort Popham sed-2	24342	8.07508148530748	21705.7621516526	26119.7506961391
ERR2233271	ERR2233271_1.fastq	ERR2233271_2.fastq	Kennebec River, Maine	SAMEA104452340	ERX2286250	Kennebec River, Maine	Fort Popham sed-3	Fort Popham	sediment	33031606	bioturb_Fort Popham sed-3	bioturb_Fort Popham sed-3	24342	7.95364106434404	19572.5282121006	23256.7554296144
ERR2233272	ERR2233272_1.fastq	ERR2233272_2.fastq	Lewes, Delaware	SAMEA104452341	ERX2286251	Lewes, Delaware	CS6 red 822	Cape Shores	sediment	33194473	bioturb_CS6 red 822	bioturb_CS6 red 822	24342	7.318149111105	10020.078021978	11054.9013055661
ERR2233273	ERR2233273_1.fastq	ERR2233273_2.fastq	Lewes, Delaware	SAMEA104452342	ERX2286252	Lewes, Delaware	6 core red 1018	Cape Shores	sediment	34184864	bioturb_6 core red 1018	bioturb_6 core red 1018	24342	6.9622807173486	6996.32858990944	7387.94935651283
ERR2233274	ERR2233274_1.fastq	ERR2233274_2.fastq	Lewes, Delaware	SAMEA104452343	ERX2286253	Lewes, Delaware	CS 6 red 622	Cape Shores	sediment	35087554	bioturb_CS 6 red 622	bioturb_CS 6 red 622	24342	6.96330955131308	7026.8063583815	7418.87607635775
ERR2233275	ERR2233275_1.fastq	ERR2233275_2.fastq	Lewes, Delaware	SAMEA104452344	ERX2286254	Lewes, Delaware	12 core WB 922	Cape Shores	worm burrow	36097361	bioturb_12 core WB 922	bioturb_12 core WB 922	24342	7.39276131711146	11955.9595041322	14216.3266490693
ERR2233276	ERR2233276_1.fastq	ERR2233276_2.fastq	Lewes, Delaware	SAMEA104452345	ERX2286255	Lewes, Delaware	CS6 WB 822	Cape Shores	worm burrow	45090208	bioturb_CS6 WB 822	bioturb_CS6 WB 822	24342	7.7293319682981	16120.5731511254	19192.5363625195
