New.ReferenceOTU1427	ERR2233304_4344099
New.ReferenceOTU1424	ERR2233299_4044078
New.ReferenceOTU1425	ERR2233229_15420
New.ReferenceOTU1422	ERR2233284_3220992
New.ReferenceOTU1423	ERR2233283_3180998
New.ReferenceOTU1420	ERR2233259_1772754
New.ReferenceOTU1421	ERR2233271_2451593
New.ReferenceOTU1428	ERR2233263_1986982
New.ReferenceOTU1429	ERR2233248_1077753
New.ReferenceOTU729	ERR2233233_274022
New.ReferenceOTU728	ERR2233232_246361
New.ReferenceOTU723	ERR2233283_3163670
New.ReferenceOTU722	ERR2233248_1071413
New.ReferenceOTU721	ERR2233229_37521
New.ReferenceOTU720	ERR2233282_3061999
New.ReferenceOTU727	ERR2233247_1043001
New.ReferenceOTU726	ERR2233320_5288981
New.ReferenceOTU725	ERR2233254_1443298
New.ReferenceOTU724	ERR2233249_1153578
New.ReferenceOTU1332	ERR2233267_2224418
New.ReferenceOTU1333	ERR2233244_891483	ERR2233251_1282749
New.ReferenceOTU1330	ERR2233248_1076150
New.ReferenceOTU1331	ERR2233255_1513525
New.ReferenceOTU1336	ERR2233250_1175660
New.ReferenceOTU1337	ERR2233262_1938080
New.ReferenceOTU1334	ERR2233277_2792439
New.ReferenceOTU1335	ERR2233275_2657583
New.ReferenceOTU1338	ERR2233248_1064529
New.ReferenceOTU1339	ERR2233273_2524437
New.ReferenceOTU129	ERR2233243_817181
New.ReferenceOTU128	ERR2233271_2422884
New.ReferenceOTU439	ERR2233321_5345554
New.ReferenceOTU438	ERR2233251_1259794
New.ReferenceOTU125	ERR2233236_468139
New.ReferenceOTU124	ERR2233284_3191378
New.ReferenceOTU127	ERR2233279_2905991
New.ReferenceOTU434	ERR2233276_2740240
New.ReferenceOTU433	ERR2233258_1706407
New.ReferenceOTU120	ERR2233276_2738081
New.ReferenceOTU123	ERR2233245_933529
New.ReferenceOTU122	ERR2233246_982233	ERR2233240_667217
New.ReferenceOTU437	ERR2233283_3154308
New.ReferenceOTU436	ERR2233277_2815063	ERR2233275_2680305	ERR2233279_2915524
New.ReferenceOTU435	ERR2233249_1150891
New.ReferenceOTU126	ERR2233248_1060507
New.ReferenceOTU121	ERR2233242_777308
New.ReferenceOTU432	ERR2233299_4046501	ERR2233293_3794456
New.ReferenceOTU1747	ERR2233239_629780
New.ReferenceOTU431	ERR2233269_2354613
New.ReferenceOTU1746	ERR2233236_432633
New.ReferenceOTU430	ERR2233257_1626346
New.ReferenceOTU1745	ERR2233269_2336286
New.ReferenceOTU543	ERR2233253_1404515
New.ReferenceOTU542	ERR2233253_1411706
New.ReferenceOTU541	ERR2233278_2852506	ERR2233316_5150732
New.ReferenceOTU540	ERR2233260_1797394
New.ReferenceOTU547	ERR2233262_1930851
New.ReferenceOTU546	ERR2233265_2094959
New.ReferenceOTU545	ERR2233284_3227646
New.ReferenceOTU544	ERR2233260_1802419
New.ReferenceOTU1743	ERR2233241_697828
New.ReferenceOTU549	ERR2233305_4390790
New.ReferenceOTU548	ERR2233297_4010292
New.ReferenceOTU1742	ERR2233236_443132
New.ReferenceOTU1741	ERR2233279_2916799
New.ReferenceOTU1740	ERR2233280_2996828
New.ReferenceOTU949	ERR2233267_2211106
New.ReferenceOTU948	ERR2233251_1253829
New.ReferenceOTU947	ERR2233314_4990637
New.ReferenceOTU946	ERR2233286_3358668
New.ReferenceOTU945	ERR2233308_4580143
New.ReferenceOTU944	ERR2233310_4741839	ERR2233310_4716491
New.ReferenceOTU943	ERR2233321_5314488
New.ReferenceOTU942	ERR2233247_1002918
New.ReferenceOTU941	ERR2233267_2215893
New.ReferenceOTU940	ERR2233309_4651952
New.ReferenceOTU1488	ERR2233285_3264501
New.ReferenceOTU1489	ERR2233284_3233419
New.ReferenceOTU1287	ERR2233280_2992716
New.ReferenceOTU1927	ERR2233314_5007116
New.ReferenceOTU1926	ERR2233295_3906096
New.ReferenceOTU1925	ERR2233312_4825718
New.ReferenceOTU1924	ERR2233306_4439561
New.ReferenceOTU1923	ERR2233295_3880518
New.ReferenceOTU1922	ERR2233296_3930076
New.ReferenceOTU1921	ERR2233288_3475895
New.ReferenceOTU1920	ERR2233287_3424240
New.ReferenceOTU1929	ERR2233286_3362184
New.ReferenceOTU1928	ERR2233286_3372483
New.ReferenceOTU604	ERR2233265_2072506
New.ReferenceOTU605	ERR2233235_400867
New.ReferenceOTU606	ERR2233243_832985
New.ReferenceOTU607	ERR2233312_4851568
New.ReferenceOTU600	ERR2233244_896263
New.ReferenceOTU601	ERR2233234_325823
New.ReferenceOTU602	ERR2233235_391461	ERR2233274_2628747
New.ReferenceOTU603	ERR2233242_775045
New.ReferenceOTU1783	ERR2233268_2281992
New.ReferenceOTU1782	ERR2233254_1416381
New.ReferenceOTU1781	ERR2233244_896071
New.ReferenceOTU1780	ERR2233254_1465273
New.ReferenceOTU608	ERR2233314_5018597
New.ReferenceOTU609	ERR2233311_4805748
New.ReferenceOTU1785	ERR2233253_1400594
New.ReferenceOTU1784	ERR2233270_2375143
New.ReferenceOTU1255	ERR2233312_4838601
New.ReferenceOTU1254	ERR2233244_887961
New.ReferenceOTU1257	ERR2233231_145953
New.ReferenceOTU1256	ERR2233304_4378807
New.ReferenceOTU1251	ERR2233242_779182
New.ReferenceOTU1250	ERR2233305_4430359	ERR2233305_4399400
New.ReferenceOTU1253	ERR2233240_661485
New.ReferenceOTU1252	ERR2233247_1018273
New.ReferenceOTU1259	ERR2233257_1692142
New.ReferenceOTU1258	ERR2233266_2117801
New.ReferenceOTU1659	ERR2233254_1461099
New.ReferenceOTU1658	ERR2233236_475284
New.ReferenceOTU1651	ERR2233274_2606619
New.ReferenceOTU1650	ERR2233320_5278418
New.ReferenceOTU1653	ERR2233282_3091387
New.ReferenceOTU1652	ERR2233232_217015
New.ReferenceOTU1655	ERR2233321_5341119
New.ReferenceOTU1654	ERR2233259_1764792
New.ReferenceOTU1657	ERR2233235_375725
New.ReferenceOTU1656	ERR2233253_1354825
New.ReferenceOTU711	ERR2233253_1397485	ERR2233251_1241073
New.ReferenceOTU1431	ERR2233266_2146244
New.ReferenceOTU1430	ERR2233320_5266283
New.ReferenceOTU1433	ERR2233266_2133946
New.ReferenceOTU1432	ERR2233263_1943144
New.ReferenceOTU1435	ERR2233241_732530
New.ReferenceOTU1434	ERR2233277_2822399
New.ReferenceOTU1437	ERR2233236_426025
New.ReferenceOTU1436	ERR2233297_3982339
New.ReferenceOTU1439	ERR2233254_1442588
New.ReferenceOTU1438	ERR2233270_2409596
New.ReferenceOTU738	ERR2233259_1765898
New.ReferenceOTU739	ERR2233289_3530960
New.ReferenceOTU730	ERR2233305_4424149
New.ReferenceOTU731	ERR2233249_1141609
New.ReferenceOTU732	ERR2233252_1317454
New.ReferenceOTU733	ERR2233245_915818
New.ReferenceOTU734	ERR2233248_1064504
New.ReferenceOTU735	ERR2233263_1954504
New.ReferenceOTU736	ERR2233292_3720121
New.ReferenceOTU737	ERR2233229_39235
New.ReferenceOTU1329	ERR2233275_2686148
New.ReferenceOTU1328	ERR2233262_1885540
New.ReferenceOTU1325	ERR2233265_2074242
New.ReferenceOTU1324	ERR2233319_5221631
New.ReferenceOTU1327	ERR2233242_756673
New.ReferenceOTU1326	ERR2233279_2923176
New.ReferenceOTU1321	ERR2233279_2943550
New.ReferenceOTU1320	ERR2233263_1978710
New.ReferenceOTU1323	ERR2233240_666231
New.ReferenceOTU1322	ERR2233320_5296907
New.ReferenceOTU428	ERR2233248_1073649
New.ReferenceOTU429	ERR2233251_1227533
New.ReferenceOTU424	ERR2233266_2139964
New.ReferenceOTU425	ERR2233236_480737
New.ReferenceOTU426	ERR2233303_4318942
New.ReferenceOTU427	ERR2233312_4829980	ERR2233259_1783495	ERR2233229_43331	ERR2233270_2369357	ERR2233238_568657
New.ReferenceOTU420	ERR2233272_2482658
New.ReferenceOTU421	ERR2233266_2116312	ERR2233271_2461472
New.ReferenceOTU422	ERR2233273_2538049
New.ReferenceOTU423	ERR2233295_3873952
New.ReferenceOTU132	ERR2233277_2820400
New.ReferenceOTU133	ERR2233293_3774318
New.ReferenceOTU130	ERR2233244_859981
New.ReferenceOTU131	ERR2233271_2427044	ERR2233234_362519
New.ReferenceOTU136	ERR2233230_128435
New.ReferenceOTU137	ERR2233320_5299447
New.ReferenceOTU134	ERR2233281_3057597
New.ReferenceOTU135	ERR2233256_1579516
New.ReferenceOTU1744	ERR2233319_5238794
New.ReferenceOTU138	ERR2233231_164522
New.ReferenceOTU139	ERR2233275_2651621
New.ReferenceOTU550	ERR2233230_118613
New.ReferenceOTU551	ERR2233279_2945246
New.ReferenceOTU552	ERR2233269_2329111
New.ReferenceOTU553	ERR2233307_4526260
New.ReferenceOTU554	ERR2233304_4378923
New.ReferenceOTU555	ERR2233244_899969
New.ReferenceOTU556	ERR2233251_1227950
New.ReferenceOTU557	ERR2233259_1774957
New.ReferenceOTU558	ERR2233276_2689995
New.ReferenceOTU559	ERR2233246_954313
New.ReferenceOTU1408	ERR2233253_1405737
New.ReferenceOTU958	ERR2233274_2593957
New.ReferenceOTU959	ERR2233309_4638736
New.ReferenceOTU1409	ERR2233266_2111436
New.ReferenceOTU954	ERR2233268_2262006
